TrainingID,TrainingName,TrainingDate,Description
1,CPR and First Aid Certification,2024-10-28,CPR and First Aid Certification description for healthcare purposes.
2,Emergency Response Training,2025-03-01,Emergency Response Training description for healthcare purposes.
3,X-ray Technician Certification,2025-06-17,X-ray Technician Certification description for healthcare purposes.
4,Medical Record Keeping,2025-06-02,Medical Record Keeping description for healthcare purposes.
5,Nursing Assistant Skills,2025-12-01,Nursing Assistant Skills description for healthcare purposes.
6,Advanced Life Support (ALS) Training,2025-06-01,Advanced Life Support (ALS) Training description for healthcare purposes.
7,Pharmacy Assistant Training,2025-01-13,Pharmacy Assistant Training description for healthcare purposes.
8,Surgical Support Training,2025-07-25,Surgical Support Training description for healthcare purposes.
9,Patient Care Assistant Certification,2024-04-04,Patient Care Assistant Certification description for healthcare purposes.
10,Infection Control Training,2024-10-23,Infection Control Training description for healthcare purposes.
11,Wound Care Management,2024-05-08,Wound Care Management description for healthcare purposes.
12,Medical Equipment Handling,2024-07-10,Medical Equipment Handling description for healthcare purposes.
13,Clinical Laboratory Technician Training,2024-08-05,Clinical Laboratory Technician Training description for healthcare purposes.
14,Cardiopulmonary Resuscitation (CPR) for Healthcare Workers,2024-02-02,Cardiopulmonary Resuscitation (CPR) for Healthcare Workers description for healthcare purposes.
15,Pediatric Nursing Care,2025-12-04,Pediatric Nursing Care description for healthcare purposes.
16,Geriatric Care Training,2024-07-25,Geriatric Care Training description for healthcare purposes.
17,Blood Transfusion Safety and Procedures,2025-01-04,Blood Transfusion Safety and Procedures description for healthcare purposes.
18,Orthopedic Care Assistant,2024-02-21,Orthopedic Care Assistant description for healthcare purposes.
19,Respiratory Therapy Certification,2025-04-21,Respiratory Therapy Certification description for healthcare purposes.
20,Mental Health First Aid,2025-09-27,Mental Health First Aid description for healthcare purposes.
21,Hospital Administration Skills,2024-02-10,Hospital Administration Skills description for healthcare purposes.
22,Phlebotomy Technician Training,2025-08-21,Phlebotomy Technician Training description for healthcare purposes.
23,Patient Transportation Training,2025-11-19,Patient Transportation Training description for healthcare purposes.
24,Sterile Processing Technician Certification,2024-09-29,Sterile Processing Technician Certification description for healthcare purposes.
25,Radiology Safety Procedures,2024-07-06,Radiology Safety Procedures description for healthcare purposes.
26,Rehabilitation Assistant Training,2024-05-13,Rehabilitation Assistant Training description for healthcare purposes.
27,Physical Therapy Aide Training,2024-10-02,Physical Therapy Aide Training description for healthcare purposes.
28,Medical Billing and Coding,2025-03-07,Medical Billing and Coding description for healthcare purposes.
29,Nutrition for Healthcare Workers,2024-01-21,Nutrition for Healthcare Workers description for healthcare purposes.
30,Emergency Medical Technician (EMT) Training,2024-03-25,Emergency Medical Technician (EMT) Training description for healthcare purposes.
